Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;(case) channel;(case) department;(case) group;(case) responsible;concept:instance;concept:name;lifecycle:transition;org:group;Duration
case-4144;Confirmation of receipt-complete;Resource01;2010/12/10 12:09:40.789;Variant 2;2;Internet;General;;Resource07;task-595;Confirmation of receipt;complete;EMPTY;0.0
case-4144;T06 Determine necessity of stop advice-complete;Resource01;2010/12/10 12:10:20.113;Variant 2;2;Internet;General;;Resource07;task-3614;T06 Determine necessity of stop advice;complete;Group 1;39.324
case-4144;T10 Determine necessity to stop indication-complete;Resource01;2010/12/10 12:13:38.826;Variant 2;2;Internet;General;;Resource07;task-3615;T10 Determine necessity to stop indication;complete;Group 1;198.713
case-4144;T02 Check confirmation of receipt-complete;Resource34;2010/12/10 12:57:20.976;Variant 2;2;Internet;General;;Resource07;task-3613;T02 Check confirmation of receipt;complete;EMPTY;2622.15
case-4144;T04 Determine confirmation of receipt-complete;Resource19;2010/12/10 13:45:13.774;Variant 2;2;Internet;General;;Resource07;task-3634;T04 Determine confirmation of receipt;complete;EMPTY;2872.798
case-4144;T05 Print and send confirmation of receipt-complete;Resource01;2010/12/15 14:11:41.002;Variant 2;2;Internet;General;;Resource07;task-3639;T05 Print and send confirmation of receipt;complete;EMPTY;433587.228
case-4146;Confirmation of receipt-complete;Resource07;2010/11/25 16:15:12.031;Variant 2;2;Internet;General;;Resource06;task-602;Confirmation of receipt;complete;EMPTY;0.0
case-4146;T06 Determine necessity of stop advice-complete;Resource07;2010/11/25 16:15:42.738;Variant 2;2;Internet;General;;Resource06;task-2063;T06 Determine necessity of stop advice;complete;Group 1;30.707
case-4146;T10 Determine necessity to stop indication-complete;Resource07;2010/11/25 16:16:29.698;Variant 2;2;Internet;General;;Resource06;task-2064;T10 Determine necessity to stop indication;complete;Group 1;46.96
case-4146;T02 Check confirmation of receipt-complete;Resource11;2010/11/30 09:09:54.177;Variant 2;2;Internet;General;;Resource06;task-2062;T02 Check confirmation of receipt;complete;EMPTY;406404.479
case-4146;T04 Determine confirmation of receipt-complete;Resource11;2010/11/30 09:10:50.238;Variant 2;2;Internet;General;;Resource06;task-2323;T04 Determine confirmation of receipt;complete;EMPTY;56.061
case-4146;T05 Print and send confirmation of receipt-complete;Resource11;2010/11/30 09:11:11.593;Variant 2;2;Internet;General;;Resource06;task-2324;T05 Print and send confirmation of receipt;complete;Group 2;21.355
case-4147;Confirmation of receipt-complete;Resource02;2010/12/01 16:24:55.077;Variant 16;16;Internet;General;;Resource02;task-603;Confirmation of receipt;complete;Group 1;0.0
case-4147;T02 Check confirmation of receipt-complete;Resource39;2010/12/01 16:34:36.807;Variant 16;16;Internet;General;;Resource02;task-2538;T02 Check confirmation of receipt;complete;EMPTY;581.73
case-4147;T03 Adjust confirmation of receipt-complete;Resource02;2010/12/06 13:59:49.294;Variant 16;16;Internet;General;;Resource02;task-2540;T03 Adjust confirmation of receipt;complete;Group 1;422712.487
case-4147;T02 Check confirmation of receipt-complete;Resource02;2010/12/06 14:00:05.661;Variant 16;16;Internet;General;;Resource02;task-2990;T02 Check confirmation of receipt;complete;Group 4;16.367
case-4147;T04 Determine confirmation of receipt-complete;Resource10;2010/12/07 08:15:15.538;Variant 16;16;Internet;General;;Resource02;task-2991;T04 Determine confirmation of receipt;complete;Group 3;65709.877
case-4147;T05 Print and send confirmation of receipt-complete;admin1;2010/12/07 08:32:14.837;Variant 16;16;Internet;General;;Resource02;task-3020;T05 Print and send confirmation of receipt;complete;Group 2;1019.299
case-4147;T06 Determine necessity of stop advice-complete;Resource02;2010/12/08 16:12:55.966;Variant 16;16;Internet;General;;Resource02;task-2539;T06 Determine necessity of stop advice;complete;Group 1;114041.129
case-4147;T10 Determine necessity to stop indication-complete;Resource02;2010/12/08 16:16:39.128;Variant 16;16;Internet;General;;Resource02;task-3399;T10 Determine necessity to stop indication;complete;Group 1;223.162
case-4149;Confirmation of receipt-complete;Resource08;2010/11/05 14:30:08.159;Variant 2;2;Internet;General;;Resource08;task-605;Confirmation of receipt;complete;Group 1;0.0
case-4149;T06 Determine necessity of stop advice-complete;Resource08;2010/11/05 14:31:07.966;Variant 2;2;Internet;General;;Resource08;task-1047;T06 Determine necessity of stop advice;complete;Group 1;59.807
case-4149;T10 Determine necessity to stop indication-complete;Resource08;2010/11/05 14:31:35.445;Variant 2;2;Internet;General;;Resource08;task-1048;T10 Determine necessity to stop indication;complete;Group 1;27.479
case-4149;T02 Check confirmation of receipt-complete;Resource24;2010/11/09 15:44:17.788;Variant 2;2;Internet;General;;Resource08;task-1046;T02 Check confirmation of receipt;complete;EMPTY;349962.343
case-4149;T04 Determine confirmation of receipt-complete;Resource10;2010/11/12 15:00:18.957;Variant 2;2;Internet;General;;Resource08;task-1296;T04 Determine confirmation of receipt;complete;Group 3;256561.169
case-4149;T05 Print and send confirmation of receipt-complete;admin1;2010/11/16 10:25:26.201;Variant 2;2;Internet;General;;Resource08;task-1442;T05 Print and send confirmation of receipt;complete;Group 2;329107.244
case-4158;Confirmation of receipt-complete;Resource11;2010/12/02 07:47:54.417;Variant 13;13;Internet;Customer contact;;Resource11;task-660;Confirmation of receipt;complete;EMPTY;0.0
case-4158;T02 Check confirmation of receipt-complete;Resource19;2010/12/07 08:34:56.309;Variant 13;13;Internet;Customer contact;;Resource11;task-2550;T02 Check confirmation of receipt;complete;EMPTY;434821.892
case-4158;T06 Determine necessity of stop advice-complete;Resource11;2010/12/08 11:43:04.093;Variant 13;13;Internet;Customer contact;;Resource11;task-2551;T06 Determine necessity of stop advice;complete;Group 1;97687.784
case-4158;T04 Determine confirmation of receipt-complete;Resource11;2010/12/08 11:43:51.948;Variant 13;13;Internet;Customer contact;;Resource11;task-3026;T04 Determine confirmation of receipt;complete;EMPTY;47.855
case-4158;T10 Determine necessity to stop indication-complete;Resource11;2010/12/08 11:45:40.022;Variant 13;13;Internet;Customer contact;;Resource11;task-3292;T10 Determine necessity to stop indication;complete;Group 1;108.074
case-4158;T05 Print and send confirmation of receipt-complete;Resource11;2010/12/14 13:49:29.028;Variant 13;13;Internet;Customer contact;;Resource11;task-3293;T05 Print and send confirmation of receipt;complete;EMPTY;525829.006
case-4159;Confirmation of receipt-complete;Resource02;2010/11/26 11:50:26.184;Variant 2;2;Internet;General;;Resource02;task-661;Confirmation of receipt;complete;Group 1;0.0
case-4159;T06 Determine necessity of stop advice-complete;Resource02;2010/11/26 11:53:55.563;Variant 2;2;Internet;General;;Resource02;task-2147;T06 Determine necessity of stop advice;complete;Group 1;209.379
case-4159;T10 Determine necessity to stop indication-complete;Resource02;2010/11/26 11:54:25.036;Variant 2;2;Internet;General;;Resource02;task-2148;T10 Determine necessity to stop indication;complete;Group 1;29.473
case-4159;T02 Check confirmation of receipt-complete;Resource08;2010/11/26 14:23:11.333;Variant 2;2;Internet;General;;Resource02;task-2146;T02 Check confirmation of receipt;complete;EMPTY;8926.297
case-4159;T04 Determine confirmation of receipt-complete;Resource02;2010/12/03 11:40:19.957;Variant 2;2;Internet;General;;Resource02;task-2163;T04 Determine confirmation of receipt;complete;EMPTY;595028.624
case-4159;T05 Print and send confirmation of receipt-complete;admin1;2010/12/06 14:38:19.085;Variant 2;2;Internet;General;;Resource02;task-2687;T05 Print and send confirmation of receipt;complete;Group 2;269879.128
case-416;Confirmation of receipt-complete;Resource21;2010/10/20 12:56:58.348;Variant 1;1;Internet;General;;Resource26;task-1;Confirmation of receipt;complete;Group 1;0.0
case-416;T02 Check confirmation of receipt-complete;Resource21;2010/10/20 12:57:49.263;Variant 1;1;Internet;General;;Resource26;task-315;T02 Check confirmation of receipt;complete;Group 4;50.915
case-416;T04 Determine confirmation of receipt-complete;Resource21;2010/10/20 12:58:58.565;Variant 1;1;Internet;General;;Resource26;task-317;T04 Determine confirmation of receipt;complete;Group 3;69.302
case-416;T05 Print and send confirmation of receipt-complete;Resource21;2010/10/20 12:59:23.662;Variant 1;1;Internet;General;;Resource26;task-318;T05 Print and send confirmation of receipt;complete;Group 2;25.097
case-416;T06 Determine necessity of stop advice-complete;Resource21;2010/10/20 13:02:33.507;Variant 1;1;Internet;General;;Resource26;task-316;T06 Determine necessity of stop advice;complete;Group 1;189.845
case-416;T10 Determine necessity to stop indication-complete;Resource21;2010/11/08 14:07:42.360;Variant 1;1;Internet;General;;Resource26;task-319;T10 Determine necessity to stop indication;complete;Group 1;1645508.853
case-4186;Confirmation of receipt-complete;Resource11;2010/12/02 08:00:12.219;Variant 2;2;Internet;General;;Resource11;task-783;Confirmation of receipt;complete;EMPTY;0.0
case-4186;T06 Determine necessity of stop advice-complete;Resource11;2010/12/02 08:02:51.102;Variant 2;2;Internet;General;;Resource11;task-2560;T06 Determine necessity of stop advice;complete;Group 1;158.883
case-4186;T10 Determine necessity to stop indication-complete;Resource11;2010/12/02 08:03:20.160;Variant 2;2;Internet;General;;Resource11;task-2561;T10 Determine necessity to stop indication;complete;Group 1;29.058
case-4186;T02 Check confirmation of receipt-complete;Resource19;2010/12/07 08:37:16.390;Variant 2;2;Internet;General;;Resource11;task-2559;T02 Check confirmation of receipt;complete;EMPTY;434036.23
case-4186;T04 Determine confirmation of receipt-complete;Resource10;2010/12/07 08:53:52.015;Variant 2;2;Internet;General;;Resource11;task-3028;T04 Determine confirmation of receipt;complete;Group 3;995.625
case-4186;T05 Print and send confirmation of receipt-complete;admin1;2010/12/07 09:09:18.787;Variant 2;2;Internet;General;;Resource11;task-3048;T05 Print and send confirmation of receipt;complete;Group 2;926.772
case-4187;Confirmation of receipt-complete;Resource11;2010/12/02 07:53:22.504;Variant 2;2;Internet;Customer contact;;Resource11;task-791;Confirmation of receipt;complete;EMPTY;0.0
case-4187;T06 Determine necessity of stop advice-complete;Resource11;2010/12/02 07:54:13.466;Variant 2;2;Internet;Customer contact;;Resource11;task-2553;T06 Determine necessity of stop advice;complete;Group 1;50.962
case-4187;T10 Determine necessity to stop indication-complete;Resource11;2010/12/02 07:54:35.995;Variant 2;2;Internet;Customer contact;;Resource11;task-2554;T10 Determine necessity to stop indication;complete;Group 1;22.529
case-4187;T02 Check confirmation of receipt-complete;Resource19;2010/12/07 08:35:27.763;Variant 2;2;Internet;Customer contact;;Resource11;task-2552;T02 Check confirmation of receipt;complete;EMPTY;434451.768
case-4187;T04 Determine confirmation of receipt-complete;Resource11;2010/12/08 12:28:13.793;Variant 2;2;Internet;Customer contact;;Resource11;task-3027;T04 Determine confirmation of receipt;complete;EMPTY;100366.03
case-4187;T05 Print and send confirmation of receipt-complete;Resource11;2010/12/14 13:53:30.413;Variant 2;2;Internet;Customer contact;;Resource11;task-3331;T05 Print and send confirmation of receipt;complete;EMPTY;523516.62
case-4189;Confirmation of receipt-complete;admin2;2010/12/20 12:36:28.288;Variant 3;3;Internet;General;;Resource06;task-812;Confirmation of receipt;complete;EMPTY;0.0
case-4208;Confirmation of receipt-complete;Resource11;2010/12/02 08:47:31.459;Variant 4;4;Internet;General;;Resource11;task-900;Confirmation of receipt;complete;EMPTY;0.0
case-4208;T02 Check confirmation of receipt-complete;Resource11;2010/12/02 08:48:34.402;Variant 4;4;Internet;General;;Resource11;task-2583;T02 Check confirmation of receipt;complete;EMPTY;62.943
case-4208;T06 Determine necessity of stop advice-complete;Resource11;2010/12/02 08:50:22.430;Variant 4;4;Internet;General;;Resource11;task-2584;T06 Determine necessity of stop advice;complete;Group 1;108.028
case-4208;T10 Determine necessity to stop indication-complete;Resource11;2010/12/02 08:53:00.533;Variant 4;4;Internet;General;;Resource11;task-2587;T10 Determine necessity to stop indication;complete;Group 1;158.103
case-4208;T04 Determine confirmation of receipt-complete;Resource11;2010/12/02 08:54:01.332;Variant 4;4;Internet;General;;Resource11;task-2585;T04 Determine confirmation of receipt;complete;EMPTY;60.799
case-4208;T05 Print and send confirmation of receipt-complete;Resource11;2010/12/02 08:54:39.811;Variant 4;4;Internet;General;;Resource11;task-2592;T05 Print and send confirmation of receipt;complete;EMPTY;38.479
case-4219;Confirmation of receipt-complete;Resource02;2010/12/07 16:20:44.780;Variant 1;1;Internet;General;;Resource02;task-1025;Confirmation of receipt;complete;EMPTY;0.0
case-4219;T02 Check confirmation of receipt-complete;Resource02;2010/12/07 16:43:55.262;Variant 1;1;Internet;General;;Resource02;task-3162;T02 Check confirmation of receipt;complete;EMPTY;1390.482
case-4219;T04 Determine confirmation of receipt-complete;Resource02;2010/12/07 16:47:52.078;Variant 1;1;Internet;General;;Resource02;task-3166;T04 Determine confirmation of receipt;complete;Group 3;236.816
case-4219;T05 Print and send confirmation of receipt-complete;Resource02;2010/12/07 16:48:44.941;Variant 1;1;Internet;General;;Resource02;task-3167;T05 Print and send confirmation of receipt;complete;EMPTY;52.863
case-4219;T06 Determine necessity of stop advice-complete;Resource02;2010/12/07 16:49:47.960;Variant 1;1;Internet;General;;Resource02;task-3163;T06 Determine necessity of stop advice;complete;Group 1;63.019
case-4219;T10 Determine necessity to stop indication-complete;Resource02;2010/12/07 16:50:10.110;Variant 1;1;Internet;General;;Resource02;task-3168;T10 Determine necessity to stop indication;complete;Group 1;22.15
case-4243;Confirmation of receipt-complete;Resource11;2010/12/08 10:05:01.220;Variant 9;9;Internet;Customer contact;;Resource11;task-1092;Confirmation of receipt;complete;EMPTY;0.0
case-4243;T06 Determine necessity of stop advice-complete;Resource11;2010/12/08 10:05:22.642;Variant 9;9;Internet;Customer contact;;Resource11;task-3230;T06 Determine necessity of stop advice;complete;Group 1;21.422
case-4243;T02 Check confirmation of receipt-complete;Resource11;2010/12/08 10:07:08.958;Variant 9;9;Internet;Customer contact;;Resource11;task-3229;T02 Check confirmation of receipt;complete;EMPTY;106.316
case-4243;T10 Determine necessity to stop indication-complete;Resource11;2010/12/08 10:08:28.383;Variant 9;9;Internet;Customer contact;;Resource11;task-3231;T10 Determine necessity to stop indication;complete;Group 1;79.425
case-4243;T04 Determine confirmation of receipt-complete;Resource11;2010/12/08 10:52:20.092;Variant 9;9;Internet;Customer contact;;Resource11;task-3232;T04 Determine confirmation of receipt;complete;EMPTY;2631.709
case-4243;T05 Print and send confirmation of receipt-complete;admin1;2010/12/10 13:31:07.754;Variant 9;9;Internet;Customer contact;;Resource11;task-3257;T05 Print and send confirmation of receipt;complete;Group 2;182327.662
case-4247;Confirmation of receipt-complete;Resource07;2010/11/25 16:26:23.142;Variant 2;2;Internet;General;;Resource07;task-1151;Confirmation of receipt;complete;Group 1;0.0
case-4247;T06 Determine necessity of stop advice-complete;Resource07;2010/11/25 16:26:41.545;Variant 2;2;Internet;General;;Resource07;task-2071;T06 Determine necessity of stop advice;complete;Group 1;18.403
case-4247;T10 Determine necessity to stop indication-complete;Resource07;2010/11/25 16:27:03.105;Variant 2;2;Internet;General;;Resource07;task-2072;T10 Determine necessity to stop indication;complete;Group 1;21.56
case-4247;T02 Check confirmation of receipt-complete;Resource07;2010/11/30 11:15:10.421;Variant 2;2;Internet;General;;Resource07;task-2070;T02 Check confirmation of receipt;complete;Group 4;413287.316
case-4247;T04 Determine confirmation of receipt-complete;Resource07;2010/11/30 11:33:21.851;Variant 2;2;Internet;General;;Resource07;task-2380;T04 Determine confirmation of receipt;complete;Group 3;1091.43
case-4247;T05 Print and send confirmation of receipt-complete;Resource11;2010/11/30 12:26:33.377;Variant 2;2;Internet;General;;Resource07;task-2382;T05 Print and send confirmation of receipt;complete;EMPTY;3191.526
case-4248;Confirmation of receipt-complete;admin2;2010/12/20 12:50:06.640;Variant 3;3;Internet;General;;Resource06;task-1153;Confirmation of receipt;complete;EMPTY;0.0
case-4249;Confirmation of receipt-complete;Resource11;2010/11/30 12:05:24.139;Variant 9;9;Internet;General;;Resource11;task-1156;Confirmation of receipt;complete;EMPTY;0.0
case-4249;T06 Determine necessity of stop advice-complete;Resource11;2010/11/30 12:18:29.293;Variant 9;9;Internet;General;;Resource11;task-2396;T06 Determine necessity of stop advice;complete;Group 1;785.154
case-4249;T02 Check confirmation of receipt-complete;Resource11;2010/11/30 12:19:14.969;Variant 9;9;Internet;General;;Resource11;task-2395;T02 Check confirmation of receipt;complete;EMPTY;45.676
case-4249;T10 Determine necessity to stop indication-complete;Resource11;2010/11/30 12:19:49.002;Variant 9;9;Internet;General;;Resource11;task-2400;T10 Determine necessity to stop indication;complete;Group 1;34.033
case-4249;T04 Determine confirmation of receipt-complete;Resource11;2010/11/30 12:20:31.346;Variant 9;9;Internet;General;;Resource11;task-2401;T04 Determine confirmation of receipt;complete;Group 3;42.344
case-4249;T05 Print and send confirmation of receipt-complete;Resource11;2010/11/30 12:20:46.444;Variant 9;9;Internet;General;;Resource11;task-2405;T05 Print and send confirmation of receipt;complete;Group 2;15.098
case-4251;Confirmation of receipt-complete;Resource05;2010/11/18 09:19:56.129;Variant 2;2;Internet;General;;Resource05;task-1172;Confirmation of receipt;complete;Group 1;0.0
case-4251;T06 Determine necessity of stop advice-complete;Resource05;2010/11/18 09:24:17.458;Variant 2;2;Internet;General;;Resource05;task-1614;T06 Determine necessity of stop advice;complete;Group 1;261.329
case-4251;T10 Determine necessity to stop indication-complete;Resource05;2010/11/18 09:25:18.636;Variant 2;2;Internet;General;;Resource05;task-1616;T10 Determine necessity to stop indication;complete;Group 1;61.178
case-4251;T02 Check confirmation of receipt-complete;Resource24;2010/11/19 16:22:08.685;Variant 2;2;Internet;General;;Resource05;task-1613;T02 Check confirmation of receipt;complete;EMPTY;111410.049
case-4251;T04 Determine confirmation of receipt-complete;Resource10;2010/11/24 11:33:38.008;Variant 2;2;Internet;General;;Resource05;task-1738;T04 Determine confirmation of receipt;complete;Group 3;414689.323
case-4251;T05 Print and send confirmation of receipt-complete;admin1;2010/11/30 09:28:28.886;Variant 2;2;Internet;General;;Resource05;task-1972;T05 Print and send confirmation of receipt;complete;Group 2;510890.878
case-4255;Confirmation of receipt-complete;Resource11;2010/11/30 12:34:39.201;Variant 1;1;Internet;General;;Resource01;task-1195;Confirmation of receipt;complete;EMPTY;0.0
case-4255;T02 Check confirmation of receipt-complete;Resource11;2010/11/30 12:35:52.251;Variant 1;1;Internet;General;;Resource01;task-2412;T02 Check confirmation of receipt;complete;EMPTY;73.05
case-4255;T04 Determine confirmation of receipt-complete;Resource11;2010/11/30 12:36:27.260;Variant 1;1;Internet;General;;Resource01;task-2414;T04 Determine confirmation of receipt;complete;Group 3;35.009
case-4255;T05 Print and send confirmation of receipt-complete;Resource11;2010/11/30 12:37:18.867;Variant 1;1;Internet;General;;Resource01;task-2415;T05 Print and send confirmation of receipt;complete;EMPTY;51.607
case-4255;T06 Determine necessity of stop advice-complete;Resource11;2010/11/30 12:37:31.816;Variant 1;1;Internet;General;;Resource01;task-2413;T06 Determine necessity of stop advice;complete;Group 1;12.949
case-4255;T10 Determine necessity to stop indication-complete;Resource11;2010/11/30 12:37:50.542;Variant 1;1;Internet;General;;Resource01;task-2416;T10 Determine necessity to stop indication;complete;Group 1;18.726
case-4274;Confirmation of receipt-complete;Resource17;2010/11/19 10:30:32.551;Variant 2;2;Internet;General;;Resource17;task-1243;Confirmation of receipt;complete;EMPTY;0.0
case-4274;T06 Determine necessity of stop advice-complete;Resource17;2010/11/19 10:31:15.981;Variant 2;2;Internet;General;;Resource17;task-1699;T06 Determine necessity of stop advice;complete;Group 1;43.43
case-4274;T10 Determine necessity to stop indication-complete;Resource17;2010/11/19 10:31:45.859;Variant 2;2;Internet;General;;Resource17;task-1702;T10 Determine necessity to stop indication;complete;Group 1;29.878
case-4274;T02 Check confirmation of receipt-complete;Resource04;2010/11/19 14:02:07.406;Variant 2;2;Internet;General;;Resource17;task-1698;T02 Check confirmation of receipt;complete;EMPTY;12621.547
case-4274;T04 Determine confirmation of receipt-complete;Resource10;2010/11/24 11:23:03.928;Variant 2;2;Internet;General;;Resource17;task-1723;T04 Determine confirmation of receipt;complete;EMPTY;422456.522
case-4274;T05 Print and send confirmation of receipt-complete;admin1;2010/11/30 09:29:49.304;Variant 2;2;Internet;General;;Resource17;task-1970;T05 Print and send confirmation of receipt;complete;Group 2;511605.376
case-4277;Confirmation of receipt-complete;Resource02;2010/12/02 15:03:17.656;Variant 4;4;Internet;General;;Resource02;task-1259;Confirmation of receipt;complete;EMPTY;0.0
case-4277;T02 Check confirmation of receipt-complete;Resource02;2010/12/06 14:10:19.116;Variant 4;4;Internet;General;;Resource02;task-2653;T02 Check confirmation of receipt;complete;EMPTY;342421.46
case-4277;T06 Determine necessity of stop advice-complete;Resource02;2010/12/06 14:42:57.169;Variant 4;4;Internet;General;;Resource02;task-2654;T06 Determine necessity of stop advice;complete;Group 1;1958.053
case-4277;T10 Determine necessity to stop indication-complete;Resource02;2010/12/06 14:51:10.689;Variant 4;4;Internet;General;;Resource02;task-2996;T10 Determine necessity to stop indication;complete;Group 1;493.52
case-4277;T04 Determine confirmation of receipt-complete;Resource10;2010/12/07 08:47:24.975;Variant 4;4;Internet;General;;Resource02;task-2992;T04 Determine confirmation of receipt;complete;Group 3;64574.286
case-4277;T05 Print and send confirmation of receipt-complete;admin1;2010/12/07 08:49:10.781;Variant 4;4;Internet;General;;Resource02;task-3040;T05 Print and send confirmation of receipt;complete;Group 2;105.806
case-4279;Confirmation of receipt-complete;Resource12;2010/11/10 11:21:33.057;Variant 2;2;Internet;General;;Resource12;task-1269;Confirmation of receipt;complete;Group 1;0.0
case-4279;T06 Determine necessity of stop advice-complete;Resource12;2010/11/11 14:13:35.775;Variant 2;2;Internet;General;;Resource12;task-1345;T06 Determine necessity of stop advice;complete;Group 1;96722.718
case-4279;T10 Determine necessity to stop indication-complete;Resource12;2010/11/11 14:14:13.332;Variant 2;2;Internet;General;;Resource12;task-1377;T10 Determine necessity to stop indication;complete;Group 1;37.557
case-4279;T02 Check confirmation of receipt-complete;Resource12;2010/11/11 14:32:50.573;Variant 2;2;Internet;General;;Resource12;task-1344;T02 Check confirmation of receipt;complete;EMPTY;1117.241
case-4279;T04 Determine confirmation of receipt-complete;Resource12;2010/11/11 14:33:20.077;Variant 2;2;Internet;General;;Resource12;task-1394;T04 Determine confirmation of receipt;complete;Group 3;29.504
case-4279;T05 Print and send confirmation of receipt-complete;Resource12;2010/11/11 14:33:31.895;Variant 2;2;Internet;General;;Resource12;task-1395;T05 Print and send confirmation of receipt;complete;Group 2;11.818
case-4317;Confirmation of receipt-complete;Resource08;2010/11/23 12:58:39.850;Variant 2;2;Internet;General;;Resource08;task-1426;Confirmation of receipt;complete;Group 1;0.0
case-4317;T06 Determine necessity of stop advice-complete;Resource08;2010/11/23 13:02:43.993;Variant 2;2;Internet;General;;Resource08;task-1891;T06 Determine necessity of stop advice;complete;Group 1;244.143
case-4317;T10 Determine necessity to stop indication-complete;Resource08;2010/11/23 13:03:09.100;Variant 2;2;Internet;General;;Resource08;task-1892;T10 Determine necessity to stop indication;complete;Group 1;25.107
case-4317;T02 Check confirmation of receipt-complete;Resource24;2010/11/26 08:57:14.441;Variant 2;2;Internet;General;;Resource08;task-1890;T02 Check confirmation of receipt;complete;EMPTY;244445.341
case-4317;T04 Determine confirmation of receipt-complete;Resource04;2010/11/26 10:09:50.090;Variant 2;2;Internet;General;;Resource08;task-2102;T04 Determine confirmation of receipt;complete;EMPTY;4355.649
case-4317;T05 Print and send confirmation of receipt-complete;admin1;2010/11/30 10:02:41.089;Variant 2;2;Internet;General;;Resource08;task-2130;T05 Print and send confirmation of receipt;complete;Group 2;345170.999
case-4319;Confirmation of receipt-complete;Resource11;2010/11/30 13:56:43.347;Variant 7;7;Internet;General;;Resource11;task-1429;Confirmation of receipt;complete;EMPTY;0.0
case-4319;T02 Check confirmation of receipt-complete;Resource11;2010/11/30 13:57:29.374;Variant 7;7;Internet;General;;Resource11;task-2425;T02 Check confirmation of receipt;complete;Group 4;46.027
case-4319;T06 Determine necessity of stop advice-complete;Resource11;2010/11/30 13:58:42.811;Variant 7;7;Internet;General;;Resource11;task-2426;T06 Determine necessity of stop advice;complete;Group 1;73.437
case-4319;T04 Determine confirmation of receipt-complete;Resource11;2010/11/30 13:59:06.922;Variant 7;7;Internet;General;;Resource11;task-2427;T04 Determine confirmation of receipt;complete;EMPTY;24.111
case-4319;T05 Print and send confirmation of receipt-complete;Resource11;2010/11/30 14:00:38.275;Variant 7;7;Internet;General;;Resource11;task-2431;T05 Print and send confirmation of receipt;complete;EMPTY;91.353
case-4319;T10 Determine necessity to stop indication-complete;Resource11;2010/11/30 14:01:04.464;Variant 7;7;Internet;General;;Resource11;task-2429;T10 Determine necessity to stop indication;complete;Group 1;26.189
case-4344;Confirmation of receipt-complete;Resource04;2010/11/23 09:16:35.832;Variant 1;1;Internet;General;;Resource21;task-1466;Confirmation of receipt;complete;Group 1;0.0
case-4344;T02 Check confirmation of receipt-complete;Resource04;2010/11/23 09:18:53.915;Variant 1;1;Internet;General;;Resource21;task-1823;T02 Check confirmation of receipt;complete;Group 4;138.083
case-4344;T04 Determine confirmation of receipt-complete;Resource04;2010/11/23 09:19:10.039;Variant 1;1;Internet;General;;Resource21;task-1825;T04 Determine confirmation of receipt;complete;Group 3;16.124
case-4344;T05 Print and send confirmation of receipt-complete;Resource04;2010/11/23 09:24:11.612;Variant 1;1;Internet;General;;Resource21;task-1826;T05 Print and send confirmation of receipt;complete;Group 2;301.573
case-4344;T06 Determine necessity of stop advice-complete;Resource04;2010/11/23 09:25:26.571;Variant 1;1;Internet;General;;Resource21;task-1824;T06 Determine necessity of stop advice;complete;Group 1;74.959
case-4344;T10 Determine necessity to stop indication-complete;Resource04;2010/11/23 09:27:57.790;Variant 1;1;Internet;General;;Resource21;task-1827;T10 Determine necessity to stop indication;complete;Group 1;151.219
case-4345;Confirmation of receipt-complete;Resource21;2010/11/23 15:59:06.988;Variant 1;1;Internet;General;;Resource21;task-1467;Confirmation of receipt;complete;Group 1;0.0
case-4345;T02 Check confirmation of receipt-complete;Resource21;2010/11/23 16:08:15.596;Variant 1;1;Internet;General;;Resource21;task-1941;T02 Check confirmation of receipt;complete;Group 4;548.608
case-4345;T04 Determine confirmation of receipt-complete;Resource10;2010/11/25 10:16:49.103;Variant 1;1;Internet;General;;Resource21;task-1947;T04 Determine confirmation of receipt;complete;Group 3;151713.507
case-4345;T05 Print and send confirmation of receipt-complete;admin1;2010/11/30 09:46:14.548;Variant 1;1;Internet;General;;Resource21;task-2040;T05 Print and send confirmation of receipt;complete;Group 2;430165.445
case-4345;T06 Determine necessity of stop advice-complete;Resource04;2010/11/30 13:58:39.431;Variant 1;1;Internet;General;;Resource21;task-1942;T06 Determine necessity of stop advice;complete;Group 1;15144.883
case-4345;T10 Determine necessity to stop indication-complete;Resource04;2010/11/30 13:58:56.702;Variant 1;1;Internet;General;;Resource21;task-2428;T10 Determine necessity to stop indication;complete;Group 1;17.271
case-4346;Confirmation of receipt-complete;Resource21;2010/11/25 09:01:06.997;Variant 21;21;Internet;General;;Resource21;task-1468;Confirmation of receipt;complete;Group 1;0.0
case-4346;T02 Check confirmation of receipt-complete;Resource21;2010/11/25 09:09:53.721;Variant 21;21;Internet;General;;Resource21;task-2020;T02 Check confirmation of receipt;complete;EMPTY;526.724
case-4346;T04 Determine confirmation of receipt-complete;Resource21;2010/11/25 10:24:54.306;Variant 21;21;Internet;General;;Resource21;task-2032;T04 Determine confirmation of receipt;complete;Group 3;4500.585
case-4346;T05 Print and send confirmation of receipt-complete;admin1;2010/11/30 09:32:31.628;Variant 21;21;Internet;General;;Resource21;task-2041;T05 Print and send confirmation of receipt;complete;Group 2;428857.322
case-4347;Confirmation of receipt-complete;admin2;2010/11/23 15:37:51.505;Variant 3;3;Internet;General;;Resource26;task-1477;Confirmation of receipt;complete;Group 1;0.0
case-4348;Confirmation of receipt-complete;admin2;2010/11/23 15:47:49.945;Variant 3;3;Internet;General;;Resource26;task-1478;Confirmation of receipt;complete;Group 1;0.0
